open,close,high,low,volume,price_change,price_limit,volume_change,volume_limit,amplitude,difference,time
304.485,300.3188,304.485,297.38,425751,-4.1712,-0.013698972,46781,0.123442489,0.0233341,-0.013682551,2021/1/27 14:47
301.25,300.055,305,299.36,373686,-0.2638,-0.0008784,-52065,-0.122289789,0.018780043,-0.003979105,2021/1/27 14:48
300.245,300.18,303,299.98,449671,0.125,0.00041659,75985,0.203339167,0.010064821,-0.000216627,2021/1/27 14:49
300.09,290.07,307,290,580245,-10.11,-0.033679792,130574,0.290376742,0.056632687,-0.033379972,2021/1/27 14:50
290,269.69,290.33,269.69,334264,-20.38,-0.070258903,-245981,-0.4239261,0.071155238,-0.070017582,2021/1/27 14:51
285.8,269.467,286.11,266.784,328323.6,-0.223,-0.000826875,-5940.4,-0.017771582,0.071660054,-0.060562127,2021/1/27 14:52
281.6,269.244,281.89,263.878,322383.2,-0.223,-0.00082756,-5940.4,-0.018093125,0.066843064,-0.045853481,2021/1/27 14:53
277.4,269.021,277.67,260.972,316442.8,-0.223,-0.000828245,-5940.4,-0.018426519,0.062018095,-0.031120471,2021/1/27 14:54
273.2,268.798,273.45,258.066,310502.4,-0.223,-0.000828932,-5940.4,-0.018772429,0.057185127,-0.016363035,2021/1/27 14:55
269,268.575,269.23,255.16,304562,-0.223,-0.000829619,-5940.4,-0.019131575,0.052344139,-0.001581113,2021/1/27 14:56
268.675,286.84,298.87,268.18,471974,18.265,0.068007074,167412,0.549681181,0.114269757,0.067634739,2021/1/27 14:57
288.1755,315,320,286.72,620852,28.16,0.098173198,148878,0.315436867,0.11602287,0.093517292,2021/1/27 14:58
315.19,310.69,320,310,515023,-4.31,-0.01368254,-105829,-0.170457694,0.031746032,-0.014285714,2021/1/27 14:59
310.32,299.98,314,290,327449,-10.71,-0.03447166,-187574,-0.364205094,0.077247417,-0.033280762,2021/1/27 15:00
297.4383,300.1672,309.7094,295.87,220557,0.1872,0.000624042,-106892,-0.326438621,0.046134409,0.00909694,2021/1/27 15:01
300.843,295,302.81,295,203217,-5.1672,-0.017214406,-17340,-0.078619132,0.026018832,-0.019465818,2021/1/27 15:02
295,293.65,299.37,290,180025,-1.35,-0.004576271,-23192,-0.11412431,0.031762712,-0.004576271,2021/1/27 15:03
293.995,295.6238,298.4999,290.3826,169094,1.9738,0.006721607,-10931,-0.060719345,0.027642772,0.005546739,2021/1/27 15:04
294.825,290.25,298.5,290,243294,-5.3738,-0.018177833,74200,0.438809183,0.028752759,-0.01547575,2021/1/27 15:05
290.75,291.655,294.9999,290,172922,1.405,0.004840655,-70372,-0.289246755,0.017226184,0.003118002,2021/1/27 15:06
291.83,290.88,295.1,290,212097,-0.775,-0.002657249,39175,0.226547229,0.017486414,-0.003257273,2021/1/27 15:07
290.3588,276.18,291.59,275,341355,-14.7,-0.050536304,129258,0.609428705,0.057033828,-0.048744499,2021/1/27 15:08
276.21,284.8741,290,274.84,281466,8.6941,0.031479832,-59889,-0.175444918,0.054891737,0.031371207,2021/1/27 15:09
285.8586,277.0401,289,275,198364,-7.834,-0.027499867,-83102,-0.295247028,0.049144517,-0.03095578,2021/1/27 15:10
278.7399,276.06,281.02,275.01,173310,-0.9801,-0.003537755,-25054,-0.12630316,0.02169361,-0.009673329,2021/1/27 15:11
275.2001,261.4627,277,261.21,354993,-14.5973,-0.052877273,181683,1.048312273,0.057197711,-0.04976237,2021/1/27 15:12
261.4294,249.72,261.845,249.72,357614,-11.7427,-0.044911569,2621,0.007383244,0.046373727,-0.044784208,2021/1/27 15:13
261.58352,253.194,263.094,249.576,317389.6,3.474,0.013911581,-40224.4,-0.112479936,0.054132629,-0.033595707,2021/1/27 15:14
261.73764,256.668,264.343,249.432,277165.2,3.474,0.013720704,-40224.4,-0.126735092,0.058891601,-0.020022749,2021/1/27 15:15
261.89176,260.142,265.592,249.288,236940.8,3.474,0.013534995,-40224.4,-0.145127888,0.063521748,-0.006817211,2021/1/27 15:16
262.04588,263.616,266.841,249.144,196716.4,3.474,0.013354245,-40224.4,-0.169765612,0.068028231,0.006035627,2021/1/27 15:17
262.2,267.09,268.09,249,156492,3.474,0.013178259,-40224.4,-0.204479138,0.072415938,0.018549709,2021/1/27 15:18
266.75,273.14,280.46,255.01,391759,6.05,0.022651541,235267,1.503380364,0.095286233,0.02392452,2021/1/27 15:19
273.9675,276.235,281.27,272,266856,3.095,0.011331185,-124903,-0.318826115,0.03393864,0.008301604,2021/1/27 15:20
276.2022,280.01,285.1263,275.68,280407,3.775,0.0136659,13551,0.050780196,0.034196608,0.01378464,2021/1/27 15:21
280.06,271.5314,284,270.21,270089,-8.4786,-0.030279633,-10318,-0.036796514,0.049248241,-0.030458198,2021/1/27 15:22
272,269.48,274.62,260,220883,-2.0514,-0.007554927,-49206,-0.182184391,0.05384276,-0.009280695,2021/1/27 15:23
267.53,267.62,270,261.37,187104,-1.86,-0.006902182,-33779,-0.152927115,0.03202464,0.000333977,2021/1/27 15:24
267.59,278.195,278.195,265.2301,217406,10.575,0.039514984,30302,0.161952711,0.048445183,0.039627083,2021/1/27 15:25
277.84,295.06,295.06,277.0001,425801,16.865,0.060622944,208395,0.958552202,0.064918133,0.061899028,2021/1/27 15:26
295,285.045,296.9,280.0001,282360,-10.015,-0.033942249,-143441,-0.336873328,0.057276147,-0.033738901,2021/1/27 15:27
285.1,282.03,288.02,281.18,178184,-3.015,-0.010577277,-104176,-0.368947443,0.023996211,-0.010770229,2021/1/27 15:28
283.0614,278.8485,285.4,275.01,223394,-3.1815,-0.011280715,45210,0.253726485,0.036840052,-0.014937773,2021/1/27 15:29
276.18,280.04,280.32,275,140320,1.1915,0.00427293,-83074,-0.371872118,0.01907846,0.013842642,2021/1/27 15:30
280.04,276.7501,280.29,275.0006,130324,-3.2899,-0.011747965,-9996,-0.071237172,0.018888016,-0.011747965,2021/1/27 15:31
276.7501,277.34,278.33,275.26,134037,0.5899,0.002131526,3713,0.028490531,0.01109304,0.002131526,2021/1/27 15:32
277.34,278.77,279.9699,277.1706,160522,1.43,0.005156126,26485,0.197594694,0.010093387,0.005156126,2021/1/27 15:33
278.52,283.6004,284.1,278.52,228180,4.8304,0.017327546,67658,0.421487397,0.020016501,0.018224343,2021/1/27 15:34
283.5101,287.305,289.2299,282.26,209298,3.7046,0.013062746,-18882,-0.08275046,0.024576482,0.013381152,2021/1/27 15:35
286.7,282.6773,287.865,280.15,132703,-4.6277,-0.016107273,-76595,-0.365961452,0.026852996,-0.014001497,2021/1/27 15:36
282.4653,282.6,287.7,282,137908,-0.0773,-0.000273457,5205,0.039222926,0.020164336,0.000476515,2021/1/27 15:37
282.59,289.9,289.9,282.31,162945,7.3,0.025831564,25037,0.181548569,0.026857749,0.02586695,2021/1/27 15:38
289.3734,289.8767,289.97,285.01,150441,-0.0233,-8.04E-05,-12504,-0.076737549,0.017109348,0.001736116,2021/1/27 15:39
289.3221,296.875,298.8,287.26,399035,6.9983,0.024142334,248594,1.652435174,0.03981003,0.026055561,2021/1/27 15:40
296.81,313.8299,314,296.34,617436,16.9549,0.057111242,218401,0.547322917,0.059486316,0.057330189,2021/1/27 15:41
313.64,316.6688,325,310,588322,2.8389,0.009045983,-29114,-0.047153065,0.047796593,0.009651088,2021/1/27 15:42
317.1515,300.01,320,300.01,336632,-16.6588,-0.052606382,-251690,-0.427809941,0.063125891,-0.054130688,2021/1/27 15:43
300.01,307.0001,308.63,300,216805,6.9901,0.023299557,-119827,-0.355958435,0.028765708,0.023299557,2021/1/27 15:44
307.6174,312.93,313.9899,306.72,225599,5.9299,0.019315629,8794,0.040561795,0.023680448,0.01730488,2021/1/27 15:45
312.52,316.05,318,310.68,245537,3.12,0.009970281,19938,0.088378051,0.023391813,0.011280478,2021/1/27 15:46
316,323.3873,324,315,413558,7.3373,0.02321563,168021,0.684300126,0.028476507,0.023373833,2021/1/27 15:47
323.6892,340.6666,342,323.01,715293,17.2793,0.053432216,301735,0.729607455,0.058722158,0.05249866,2021/1/27 15:48
340.5,331.701,342.8129,326,436373,-8.9656,-0.026317813,-278920,-0.389938109,0.049352945,-0.025828772,2021/1/27 15:49
